group_category,group_label,national_population,weighted_desert_score,pct_in_severe_deserts
Middle Eastern / North African,Yemeni,92508,53.9,5.0
Broad groups,American Indian / Alaska Native,3095361,48.1,7.3
Central Asian,Uzbek,25947,47.1,0.8
Hispanic or Latino,Dominican,2422597,46.9,13.9
South Asian,Bangladeshi,263277,46.3,5.5
South Asian,Sikh,19623,46.1,1.3
Hispanic or Latino,Mexican,37919628,46.0,3.8
Broad groups,Hispanic or Latino,64756887,44.3,3.6
Hispanic or Latino,Puerto Rican,5965280,43.6,4.2
Broad groups,Black or African American,40918866,43.4,2.2
East Asian,Hmong,343995,43.1,2.3
Middle Eastern / North African,Arab,238151,43.0,1.4
Middle Eastern / North African,Assyrian,46194,41.9,1.2
Southeast Asian,Laotian,173692,41.8,1.7
Broad groups,Native Hawaiian / Pacific Islander,631483,41.4,1.0
Southeast Asian,Cambodian,273513,41.3,0.9
Southeast Asian,Indonesian,84334,41.0,0.3
Southeast Asian,Burmese,222221,40.6,0.4
Hispanic or Latino,Central American,6775854,40.6,1.1
Broad groups,Central Asian,212615,40.6,0.4
Southeast Asian,Filipino,3039092,40.6,0.9
Middle Eastern / North African,Lebanese,766974,40.3,0.4
South Asian,Pakistani,576166,40.3,0.6
Middle Eastern / North African,Egyptian,425102,40.2,0.3
Middle Eastern / North African,Syrian,242376,40.1,0.4
Middle Eastern / North African,Iraqi,208557,40.0,0.3
Broad groups,Middle Eastern / North African,3744634,40.0,0.6
Middle Eastern / North African,Palestinian,190364,40.0,0.9
Broad groups,Southeast Asian,5959620,39.8,0.8
Central Asian,Kazakh,14613,39.6,1.1
Middle Eastern / North African,Moroccan,173074,39.6,0.7
Hispanic or Latino,South American,4909236,39.6,1.2
Central Asian,Afghan,155581,39.5,0.3
Southeast Asian,Thai,192229,39.5,0.7
South Asian,Nepalese,227585,39.1,0.3
East Asian,Chinese (exc. Taiwanese),4284034,39.0,0.3
Broad groups,East Asian,7171394,38.8,0.4
Broad groups,South Asian,5808916,38.8,0.9
Hispanic or Latino,Cuban,2593339,38.7,0.9
East Asian,Japanese,743328,38.5,0.4
South Asian,Sri Lankan,64875,38.2,0.5
South Asian,Asian Indian,4625433,38.1,0.7
Middle Eastern / North African,Chaldean,49196,38.1,0.4
Southeast Asian,Vietnamese,1918848,38.1,0.8
South Asian,Bhutanese,23528,37.8,0.0
East Asian,Korean,1495029,37.6,0.3
East Asian,Taiwanese,269825,37.6,0.1
Middle Eastern / North African,Iranian,566330,36.8,0.2
