county_fips,county_name,state_name,total_population,poverty_rate_pct,median_household_income,unemployment_rate_pct,bachelors_or_higher_pct,limited_english_households_pct,foreign_born_pct,legal_services_establishments,legal_services_per_10k,pr_poverty,pr_low_income,pr_unemployment,pr_low_education,pr_limited_english,pr_foreign_born,pr_supply_gap,need_index,supply_gap_index,desert_score
48505,"Zapata County, Texas",Texas,13841,38.39,39239.0,7.35,15.18,23.2,23.44,0,0.0,0.9967835316822129,0.9810228369250563,0.9006111289803795,0.8633000964940495,0.9980701190093277,0.9761981344483757,0.7857832100353811,95.3,78.6,88.6
48127,"Dimmit County, Texas",Texas,8380,41.11,38808.0,8.42,9.79,10.1,7.22,0,0.0,0.9980701190093277,0.9819877774203924,0.9395303956256031,0.9900289482148601,0.9778063686072692,0.7960759086522998,0.7857832100353811,94.7,78.6,88.3
48229,"Hudspeth County, Texas",Texas,3403,17.34,48600.0,8.02,9.59,16.2,24.74,0,0.0,0.747507237053715,0.9073657124477323,0.9279511096815697,0.9903505950466388,0.9932454165326472,0.9797362495979415,0.7857832100353811,92.4,78.6,86.9
48079,"Cochran County, Texas",Texas,2550,27.76,45313.0,4.81,8.23,13.6,18.86,0,0.0,0.9694435509810229,0.9404953361209392,0.5879704084914763,0.9967835316822129,0.9880990672241878,0.9591508523641042,0.7857832100353811,90.7,78.6,85.9
35029,"Luna County, New Mexico",New Mexico,25611,28.58,36419.0,5.41,14.59,13.8,16.16,3,1.171,0.9742682534577034,0.9887423608877453,0.7079446767449341,0.8890318430363461,0.9884207140559665,0.9459633322611772,0.7725956899324542,91.6,77.3,85.8
48131,"Duval County, Texas",Texas,9742,33.27,49038.0,10.98,6.84,8.0,3.07,0,0.0,0.9913155355419749,0.8999678353168221,0.9826310710839499,0.9987134126728852,0.9649404953361209,0.5155998713412673,0.7857832100353811,89.2,78.6,85.0
13003,"Atkinson County, Georgia",Georgia,8337,24.97,42347.0,4.78,8.95,5.3,13.4,0,0.0,0.9498230942425218,0.9597941460276617,0.5786426503698938,0.9935670633644259,0.9279511096815697,0.9247346413637826,0.7857832100353811,88.9,78.6,84.8
40057,"Harmon County, Oklahoma",Oklahoma,2406,22.72,43333.0,7.21,13.38,2.6,8.06,0,0.0,0.9166934705693149,0.9543261498874236,0.8928916050176906,0.928594403345127,0.8118366034094564,0.8234158893534899,0.7857832100353811,88.8,78.6,84.7
48047,"Brooks County, Texas",Texas,6943,19.4,47764.0,19.94,16.96,11.5,7.01,0,0.0,0.8304921196526214,0.9170151174010936,0.9990350595046639,0.7706658089417819,0.9826310710839499,0.7896429720167256,0.7857832100353811,88.2,78.6,84.3
36005,"Bronx County, New York",New York,1404779,27.81,48676.0,11.4,22.39,18.2,34.55,164,1.167,0.9697651978128016,0.9060791251206176,0.9835960115792859,0.48954647796719203,0.9954969443550981,0.9964618848504342,0.7732389835960116,89.0,77.3,84.3
48489,"Willacy County, Texas",Texas,20139,23.96,54180.0,7.53,14.05,13.5,10.38,3,1.49,0.9353489868124799,0.8025088452878739,0.9102605339337407,0.9067224187841749,0.9874557735606304,0.8845287873914442,0.7458990028948215,90.4,74.6,84.1
48427,"Starr County, Texas",Texas,66067,33.52,37639.0,10.44,13.58,32.0,27.2,15,2.27,0.9926021228690898,0.984560952074622,0.9768414281119331,0.9234480540366677,1.0,0.9861691862335156,0.627854615632036,97.7,62.8,83.8
06025,"Imperial County, California",California,180202,19.53,57681.0,12.52,16.07,23.5,31.63,28,1.554,0.835316822129302,0.7282084271469926,0.9897073013830814,0.8201994210357028,0.9983917658411064,0.9932454165326472,0.7413959472499196,89.4,74.1,83.3
48507,"Zavala County, Texas",Texas,9412,33.92,36749.0,3.97,11.09,11.9,7.68,0,0.0,0.9932454165326472,0.9877774203924091,0.40495336120939207,0.9778063686072692,0.9835960115792859,0.8082984882598906,0.7857832100353811,85.9,78.6,83.0
12043,"Glades County, Florida",Florida,12563,17.21,45870.0,7.13,13.44,2.0,10.97,0,0.0,0.7404310067545835,0.9350273399807012,0.88806690254101,0.927629462849791,0.7468639433901576,0.8957864265036989,0.7857832100353811,85.6,78.6,82.8
13193,"Macon County, Georgia",Georgia,11864,25.1,41031.0,7.16,10.97,2.1,3.38,0,0.0,0.9517529752331939,0.9723383724670313,0.8890318430363461,0.9787713091026053,0.7574782888388549,0.5519459633322612,0.7857832100353811,85.0,78.6,82.4
48377,"Presidio County, Texas",Texas,5930,32.0,43802.0,6.7,28.02,23.7,30.57,0,0.0,0.9858475394017369,0.95271791572853,0.8591186876809264,0.2833708587970408,0.9987134126728852,0.9922804760373111,0.7857832100353811,84.5,78.6,82.2
04012,"La Paz County, Arizona",Arizona,16664,17.45,49478.0,10.04,13.46,6.0,9.79,3,1.8,0.7536185268575104,0.8909617240270183,0.9726600192988099,0.9269861691862336,0.9411386297844966,0.8684464458025088,0.7118044387262785,89.2,71.2,82.0
13287,"Turner County, Georgia",Georgia,8939,20.27,36799.0,12.21,9.84,4.3,1.87,0,0.0,0.8571888066902541,0.9874557735606304,0.9880990672241878,0.989064007719524,0.9002894821486008,0.33386941138629783,0.7857832100353811,84.3,78.6,82.0
37079,"Greene County, North Carolina",North Carolina,20486,21.05,53244.0,5.65,12.19,3.5,6.59,0,0.0,0.8793824380829849,0.8214860083628176,0.745255709231264,0.9591508523641042,0.8735927951109682,0.7697008684464458,0.7857832100353811,84.1,78.6,81.9
12049,"Hardee County, Florida",Florida,25675,25.33,60489.0,5.91,12.1,6.0,11.73,4,1.558,0.9543261498874236,0.6500482470247668,0.7832100353811515,0.9604374396912191,0.9411386297844966,0.9051141846252815,0.7407526535863622,86.6,74.1,81.6
35031,"McKinley County, New Mexico",New Mexico,70431,33.24,47668.0,9.04,13.3,10.8,2.43,11,1.562,0.9909938887101962,0.917658411064651,0.95271791572853,0.9302026375040205,0.9797362495979415,0.4332582824059183,0.7397877130910261,86.7,74.0,81.6
48153,"Floyd County, Texas",Texas,5216,17.94,58462.0,6.04,14.91,5.7,10.91,0,0.0,0.7751688645866838,0.7082663235767128,0.8015439047925378,0.8764876165969765,0.9347056931489225,0.8941781923448054,0.7857832100353811,83.2,78.6,81.3
20047,"Edwards County, Kansas",Kansas,2779,18.87,52692.0,6.79,20.55,10.1,12.02,0,0.0,0.811193309745899,0.8337085879704085,0.8678031521389514,0.5831457060147958,0.9778063686072692,0.9089739466066259,0.7857832100353811,83.0,78.6,81.3
06047,"Merced County, California",California,290201,19.09,65510.0,10.56,15.33,12.8,25.59,43,1.482,0.8189128337085879,0.5059504663879061,0.9778063686072692,0.8546156320360244,0.9864908330652943,0.9829527179157286,0.7487938243808299,85.4,74.9,81.2
04001,"Apache County, Arizona",Arizona,65341,30.53,41438.0,10.69,16.56,12.2,1.59,6,0.918,0.9807011900932776,0.9700868446445803,0.9784496622708266,0.7944676744934063,0.9842393052428433,0.2801543904792538,0.781601801222258,83.1,78.2,81.1
02158,"Kusilvak Census Area, Alaska",Alaska,8176,32.4,51471.0,19.82,5.78,2.1,1.86,0,0.0,0.9877774203924091,0.8578321003538115,0.9987134126728852,1.0,0.7574782888388549,0.3316178835638469,0.7857832100353811,82.2,78.6,80.8
21237,"Wolfe County, Kentucky",Kentucky,6443,37.74,30417.0,13.13,8.69,1.6,1.58,0,0.0,0.9961402380186555,0.9983917658411064,0.9916371823737536,0.9954969443550981,0.6767449340623994,0.276616275329688,0.7857832100353811,82.3,78.6,80.8
48163,"Frio County, Texas",Texas,18582,19.51,66010.0,5.57,11.95,16.3,10.88,0,0.0,0.8340302348021872,0.49018977163074945,0.7339980701190093,0.9646188485043422,0.9935670633644259,0.8928916050176906,0.7857832100353811,81.8,78.6,80.5
48107,"Crosby County, Texas",Texas,5041,20.08,52188.0,8.25,15.39,2.7,3.69,0,0.0,0.8510775168864587,0.8436796397555484,0.9356706336442586,0.8526857510453522,0.8230942425217112,0.5808941781923448,0.7857832100353811,81.5,78.6,80.3
12051,"Hendry County, Florida",Florida,42382,22.53,56393.0,4.39,12.18,15.0,30.04,7,1.652,0.9131553554197491,0.7590865229977485,0.4930845931167578,0.9597941460276617,0.9916371823737536,0.9903505950466388,0.7304599549694436,85.1,73.0,80.3
48405,"San Augustine County, Texas",Texas,7874,27.14,50408.0,9.51,13.77,0.7,5.77,0,0.0,0.9668703763267932,0.8752010292698617,0.9633322611772274,0.9170151174010936,0.42039240913477,0.7301383081376649,0.7857832100353811,81.2,78.6,80.2
46121,"Todd County, South Dakota",South Dakota,9244,48.43,42075.0,18.66,16.56,1.6,2.47,0,0.0,0.9996783531682213,0.96268896751367,0.9980701190093277,0.7944676744934063,0.6767449340623994,0.4409778063686073,0.7857832100353811,81.2,78.6,80.2
12067,"Lafayette County, Florida",Florida,8161,17.5,62757.0,10.87,9.89,2.3,6.84,0,0.0,0.7555484078481827,0.5802508845287874,0.9810228369250563,0.9884207140559665,0.7828883885493728,0.7822450948858154,0.7857832100353811,81.2,78.6,80.1
12027,"DeSoto County, Florida",Florida,35386,24.06,54417.0,9.5,10.8,3.5,13.62,8,2.261,0.9369572209713735,0.7976841428111933,0.9630106143454487,0.9797362495979415,0.8735927951109682,0.9266645223544548,0.6297844966227083,91.3,63.0,80.0
48487,"Wilbarger County, Texas",Texas,12616,17.46,54102.0,9.29,17.25,2.8,5.91,0,0.0,0.7539401736892891,0.8037954326149888,0.959472499195883,0.7555484078481827,0.8308137664844001,0.7397877130910261,0.7857832100353811,80.7,78.6,79.9
06021,"Glenn County, California",California,28494,15.95,67139.0,8.02,15.12,7.8,18.6,0,0.0,0.6699903505950466,0.4515921518173046,0.9279511096815697,0.8668382116436153,0.9607590865229978,0.9581859118687681,0.7857832100353811,80.6,78.6,79.8
48169,"Garza County, Texas",Texas,5118,8.42,46314.0,11.47,10.22,3.1,12.39,0,0.0,0.1389514313284014,0.9292376970086844,0.9842393052428433,0.9852042457381794,0.8504342232229013,0.9147635895786427,0.7857832100353811,80.0,78.6,79.5
48437,"Swisher County, Texas",Texas,6937,30.1,36165.0,4.29,15.47,3.5,4.43,0,0.0,0.9797362495979415,0.9893856545513027,0.4634930845931168,0.848504342232229,0.8735927951109682,0.6474750723705371,0.7857832100353811,80.0,78.6,79.5
32021,"Mineral County, Nevada",Nevada,4542,18.47,54855.0,9.8,13.22,4.0,2.27,0,0.0,0.8005789642972017,0.790286265680283,0.9678353168221293,0.9321325184946928,0.8896751366999035,0.4052750080411708,0.7857832100353811,79.8,78.6,79.3
